id_batiment,nb_maisons,type_batiment,type_batiment_norm,cat_score,occ_rate,is_uninhabited
E000183,1,habitation,habitation,1.0,1.0,0
E000184,1,habitation,habitation,1.0,1.0,0
E000185,1,habitation,habitation,1.0,1.0,0
E000186,1,habitation,habitation,1.0,1.0,0
E000187,1,habitation,habitation,1.0,1.0,0
E000188,1,habitation,habitation,1.0,1.0,0
E000189,1,habitation,habitation,1.0,1.0,0
E000190,1,habitation,habitation,1.0,1.0,0
E000191,1,habitation,habitation,1.0,1.0,0
E000192,1,habitation,habitation,1.0,1.0,0
E000193,1,habitation,habitation,1.0,1.0,0
E000194,1,habitation,habitation,1.0,1.0,0
E000195,1,habitation,habitation,1.0,1.0,0
E000196,1,habitation,habitation,1.0,1.0,0
E000197,1,habitation,habitation,1.0,1.0,0
E000198,1,habitation,habitation,1.0,1.0,0
E000199,1,habitation,habitation,1.0,1.0,0
E000200,1,habitation,habitation,1.0,1.0,0
E000201,1,habitation,habitation,1.0,1.0,0
E000202,1,habitation,habitation,1.0,1.0,0
E000203,1,habitation,habitation,1.0,1.0,0
E000204,1,habitation,habitation,1.0,1.0,0
E000205,1,habitation,habitation,1.0,1.0,0
E000206,1,habitation,habitation,1.0,1.0,0
E000207,1,habitation,habitation,1.0,1.0,0
E000208,1,habitation,habitation,1.0,1.0,0
E000209,1,habitation,habitation,1.0,1.0,0
E000210,1,habitation,habitation,1.0,1.0,0
E000211,1,habitation,habitation,1.0,1.0,0
E000212,1,habitation,habitation,1.0,1.0,0
E000213,1,habitation,habitation,1.0,1.0,0
E000214,1,habitation,habitation,1.0,1.0,0
E000215,1,habitation,habitation,1.0,1.0,0
E000216,1,habitation,habitation,1.0,1.0,0
E000217,1,habitation,habitation,1.0,1.0,0
E000218,1,habitation,habitation,1.0,1.0,0
E000219,1,habitation,habitation,1.0,1.0,0
E000220,1,habitation,habitation,1.0,1.0,0
E000221,1,habitation,habitation,1.0,1.0,0
E000222,1,habitation,habitation,1.0,1.0,0
E000223,1,habitation,habitation,1.0,1.0,0
E000224,1,habitation,habitation,1.0,1.0,0
E000225,1,habitation,habitation,1.0,1.0,0
E000226,1,habitation,habitation,1.0,1.0,0
E000227,1,habitation,habitation,1.0,1.0,0
E000228,1,habitation,habitation,1.0,1.0,0
E000229,1,habitation,habitation,1.0,1.0,0
E000230,1,habitation,habitation,1.0,1.0,0
E000231,1,habitation,habitation,1.0,1.0,0
E000232,1,habitation,habitation,1.0,1.0,0
E000233,1,habitation,habitation,1.0,1.0,0
E000234,1,habitation,habitation,1.0,1.0,0
E000235,1,habitation,habitation,1.0,1.0,0
E000236,1,habitation,habitation,1.0,1.0,0
E000237,1,habitation,habitation,1.0,1.0,0
E000238,1,habitation,habitation,1.0,1.0,0
E000239,1,habitation,habitation,1.0,1.0,0
E000240,1,habitation,habitation,1.0,1.0,0
E000241,1,habitation,habitation,1.0,1.0,0
E000242,1,habitation,habitation,1.0,1.0,0
E000243,1,habitation,habitation,1.0,1.0,0
E000244,1,habitation,habitation,1.0,1.0,0
E000245,1,habitation,habitation,1.0,1.0,0
E000246,1,habitation,habitation,1.0,1.0,0
E000247,1,habitation,habitation,1.0,1.0,0
E000248,1,habitation,habitation,1.0,1.0,0
E000249,1,habitation,habitation,1.0,1.0,0
E000250,1,habitation,habitation,1.0,1.0,0
E000251,1,habitation,habitation,1.0,1.0,0
E000252,1,habitation,habitation,1.0,1.0,0
E000253,1,habitation,habitation,1.0,1.0,0
E000254,1,habitation,habitation,1.0,1.0,0
E000255,1,habitation,habitation,1.0,1.0,0
E000256,1,habitation,habitation,1.0,1.0,0
E000257,1,habitation,habitation,1.0,1.0,0
E000258,1,habitation,habitation,1.0,1.0,0
E000259,1,habitation,habitation,1.0,1.0,0
E000260,1,habitation,habitation,1.0,1.0,0
E000261,1,habitation,habitation,1.0,1.0,0
E000262,1,habitation,habitation,1.0,1.0,0
E000263,1,habitation,habitation,1.0,1.0,0
E000264,1,habitation,habitation,1.0,1.0,0
E000265,1,habitation,habitation,1.0,1.0,0
E000266,1,habitation,habitation,1.0,1.0,0
E000267,1,habitation,habitation,1.0,1.0,0
E000268,1,habitation,habitation,1.0,1.0,0
E000269,1,habitation,habitation,1.0,1.0,0
E000270,1,habitation,habitation,1.0,1.0,0
E000271,1,habitation,habitation,1.0,1.0,0
E000272,1,habitation,habitation,1.0,1.0,0
E000273,1,habitation,habitation,1.0,1.0,0
E000274,1,habitation,habitation,1.0,1.0,0
E000275,1,habitation,habitation,1.0,1.0,0
E000276,3,habitation,habitation,1.0,1.0,0
E000277,1,habitation,habitation,1.0,1.0,0
E000278,1,habitation,habitation,1.0,1.0,0
E000279,1,habitation,habitation,1.0,1.0,0
E000280,1,habitation,habitation,1.0,1.0,0
E000281,1,habitation,habitation,1.0,1.0,0
E000282,1,habitation,habitation,1.0,1.0,0
E000283,1,habitation,habitation,1.0,1.0,0
E000284,1,habitation,habitation,1.0,1.0,0
E000285,1,habitation,habitation,1.0,1.0,0
E000286,1,habitation,habitation,1.0,1.0,0
E000287,1,habitation,habitation,1.0,1.0,0
E000288,1,habitation,habitation,1.0,1.0,0
E000289,1,habitation,habitation,1.0,1.0,0
E000290,1,habitation,habitation,1.0,1.0,0
E000291,1,habitation,habitation,1.0,1.0,0
E000292,1,habitation,habitation,1.0,1.0,0
E000293,1,habitation,habitation,1.0,1.0,0
E000294,1,habitation,habitation,1.0,1.0,0
E000295,1,habitation,habitation,1.0,1.0,0
E000296,1,habitation,habitation,1.0,1.0,0
E000297,1,habitation,habitation,1.0,1.0,0
E000298,1,habitation,habitation,1.0,1.0,0
E000299,1,habitation,habitation,1.0,1.0,0
E000300,1,habitation,habitation,1.0,1.0,0
E000301,1,habitation,habitation,1.0,1.0,0
E000302,1,habitation,habitation,1.0,1.0,0
E000303,1,habitation,habitation,1.0,1.0,0
E000304,1,habitation,habitation,1.0,1.0,0
E000305,1,habitation,habitation,1.0,1.0,0
E000306,1,habitation,habitation,1.0,1.0,0
E000307,1,habitation,habitation,1.0,1.0,0
E000308,1,habitation,habitation,1.0,1.0,0
E000309,1,habitation,habitation,1.0,1.0,0
E000310,1,habitation,habitation,1.0,1.0,0
E000311,1,habitation,habitation,1.0,1.0,0
E000312,1,habitation,habitation,1.0,1.0,0
E000313,1,habitation,habitation,1.0,1.0,0
E000314,1,habitation,habitation,1.0,1.0,0
E000315,1,habitation,habitation,1.0,1.0,0
E000316,1,habitation,habitation,1.0,1.0,0
E000317,1,habitation,habitation,1.0,1.0,0
E000318,1,habitation,habitation,1.0,1.0,0
E000319,1,habitation,habitation,1.0,1.0,0
E000320,1,habitation,habitation,1.0,1.0,0
E000321,1,habitation,habitation,1.0,1.0,0
E000322,1,habitation,habitation,1.0,1.0,0
E000323,1,habitation,habitation,1.0,1.0,0
E000324,1,habitation,habitation,1.0,1.0,0
E000325,1,habitation,habitation,1.0,1.0,0
E000326,1,habitation,habitation,1.0,1.0,0
E000327,1,habitation,habitation,1.0,1.0,0
E000328,1,habitation,habitation,1.0,1.0,0
E000329,1,habitation,habitation,1.0,1.0,0
E000330,1,habitation,habitation,1.0,1.0,0
E000331,1,habitation,habitation,1.0,1.0,0
E000332,1,habitation,habitation,1.0,1.0,0
E000333,1,habitation,habitation,1.0,1.0,0
E000334,1,habitation,habitation,1.0,1.0,0
E000335,1,habitation,habitation,1.0,1.0,0
E000336,1,habitation,habitation,1.0,1.0,0
E000337,1,habitation,habitation,1.0,1.0,0
E000338,1,habitation,habitation,1.0,1.0,0
E000339,1,habitation,habitation,1.0,1.0,0
E000340,1,habitation,habitation,1.0,1.0,0
E000341,1,habitation,habitation,1.0,1.0,0
E000342,1,habitation,habitation,1.0,1.0,0
E000343,1,habitation,habitation,1.0,1.0,0
E000344,1,habitation,habitation,1.0,1.0,0
E000345,1,habitation,habitation,1.0,1.0,0
E000346,1,habitation,habitation,1.0,1.0,0
E000347,1,habitation,habitation,1.0,1.0,0
E000348,1,habitation,habitation,1.0,1.0,0
E000349,1,habitation,habitation,1.0,1.0,0
E000350,1,habitation,habitation,1.0,1.0,0
E000351,1,habitation,habitation,1.0,1.0,0
E000352,1,habitation,habitation,1.0,1.0,0
E000353,1,habitation,habitation,1.0,1.0,0
E000354,1,habitation,habitation,1.0,1.0,0
E000355,1,habitation,habitation,1.0,1.0,0
E000356,1,habitation,habitation,1.0,1.0,0
E000357,1,habitation,habitation,1.0,1.0,0
E000358,1,habitation,habitation,1.0,1.0,0
E000359,1,habitation,habitation,1.0,1.0,0
E000360,1,habitation,habitation,1.0,1.0,0
E000361,1,habitation,habitation,1.0,1.0,0
E000362,1,habitation,habitation,1.0,1.0,0
E000363,1,habitation,habitation,1.0,1.0,0
E000364,1,habitation,habitation,1.0,1.0,0
E000365,1,habitation,habitation,1.0,1.0,0
E000366,1,habitation,habitation,1.0,1.0,0
E000367,1,habitation,habitation,1.0,1.0,0
E000368,1,habitation,habitation,1.0,1.0,0
E000369,1,habitation,habitation,1.0,1.0,0
E000370,1,habitation,habitation,1.0,1.0,0
E000371,1,habitation,habitation,1.0,1.0,0
E000372,1,habitation,habitation,1.0,1.0,0
E000373,1,habitation,habitation,1.0,1.0,0
E000374,1,habitation,habitation,1.0,1.0,0
E000375,1,habitation,habitation,1.0,1.0,0
E000376,1,habitation,habitation,1.0,1.0,0
E000377,1,habitation,habitation,1.0,1.0,0
E000378,1,habitation,habitation,1.0,1.0,0
E000379,1,habitation,habitation,1.0,1.0,0
E000380,1,habitation,habitation,1.0,1.0,0
E000381,1,habitation,habitation,1.0,1.0,0
