id_batiment,type_batiment,nb_maisons,type_batiment_norm,cat_score,occ_rate,is_uninhabited
E000205,habitation,1,habitation,1.0,1.0,0
E000206,habitation,1,habitation,1.0,1.0,0
E000207,habitation,1,habitation,1.0,1.0,0
E000208,habitation,1,habitation,1.0,1.0,0
E000209,habitation,1,habitation,1.0,1.0,0
E000210,habitation,1,habitation,1.0,1.0,0
E000211,habitation,1,habitation,1.0,1.0,0
E000212,habitation,1,habitation,1.0,1.0,0
E000213,habitation,1,habitation,1.0,1.0,0
E000214,habitation,1,habitation,1.0,1.0,0
E000215,habitation,1,habitation,1.0,1.0,0
E000216,habitation,1,habitation,1.0,1.0,0
E000217,habitation,1,habitation,1.0,1.0,0
E000218,habitation,1,habitation,1.0,1.0,0
E000219,habitation,1,habitation,1.0,1.0,0
E000220,habitation,1,habitation,1.0,1.0,0
E000221,habitation,1,habitation,1.0,1.0,0
E000222,habitation,1,habitation,1.0,1.0,0
E000223,habitation,1,habitation,1.0,1.0,0
E000224,habitation,1,habitation,1.0,1.0,0
E000225,habitation,1,habitation,1.0,1.0,0
E000226,habitation,1,habitation,1.0,1.0,0
E000227,habitation,1,habitation,1.0,1.0,0
E000228,habitation,1,habitation,1.0,1.0,0
E000229,habitation,1,habitation,1.0,1.0,0
E000230,habitation,1,habitation,1.0,1.0,0
E000231,habitation,1,habitation,1.0,1.0,0
E000232,habitation,1,habitation,1.0,1.0,0
E000233,habitation,1,habitation,1.0,1.0,0
E000234,habitation,1,habitation,1.0,1.0,0
E000235,habitation,1,habitation,1.0,1.0,0
E000236,habitation,1,habitation,1.0,1.0,0
E000237,habitation,1,habitation,1.0,1.0,0
E000238,habitation,1,habitation,1.0,1.0,0
E000239,habitation,1,habitation,1.0,1.0,0
E000240,habitation,1,habitation,1.0,1.0,0
E000241,habitation,1,habitation,1.0,1.0,0
E000242,habitation,1,habitation,1.0,1.0,0
E000243,habitation,1,habitation,1.0,1.0,0
E000244,habitation,1,habitation,1.0,1.0,0
E000245,habitation,1,habitation,1.0,1.0,0
E000246,habitation,1,habitation,1.0,1.0,0
E000247,habitation,1,habitation,1.0,1.0,0
E000248,habitation,1,habitation,1.0,1.0,0
E000249,habitation,1,habitation,1.0,1.0,0
E000250,habitation,1,habitation,1.0,1.0,0
E000251,habitation,1,habitation,1.0,1.0,0
E000252,habitation,1,habitation,1.0,1.0,0
E000253,habitation,1,habitation,1.0,1.0,0
E000254,habitation,1,habitation,1.0,1.0,0
E000255,habitation,1,habitation,1.0,1.0,0
E000256,habitation,1,habitation,1.0,1.0,0
E000257,habitation,1,habitation,1.0,1.0,0
E000258,habitation,1,habitation,1.0,1.0,0
E000259,habitation,1,habitation,1.0,1.0,0
E000260,habitation,1,habitation,1.0,1.0,0
E000261,habitation,1,habitation,1.0,1.0,0
E000262,habitation,1,habitation,1.0,1.0,0
E000263,habitation,1,habitation,1.0,1.0,0
E000264,habitation,1,habitation,1.0,1.0,0
E000265,habitation,1,habitation,1.0,1.0,0
E000266,habitation,1,habitation,1.0,1.0,0
E000267,habitation,1,habitation,1.0,1.0,0
E000268,habitation,1,habitation,1.0,1.0,0
E000269,habitation,1,habitation,1.0,1.0,0
E000270,habitation,1,habitation,1.0,1.0,0
E000271,habitation,1,habitation,1.0,1.0,0
E000272,habitation,1,habitation,1.0,1.0,0
E000273,habitation,1,habitation,1.0,1.0,0
E000274,habitation,1,habitation,1.0,1.0,0
E000275,habitation,1,habitation,1.0,1.0,0
E000276,habitation,3,habitation,1.0,1.0,0
E000277,habitation,1,habitation,1.0,1.0,0
E000278,habitation,1,habitation,1.0,1.0,0
E000279,habitation,1,habitation,1.0,1.0,0
E000280,habitation,1,habitation,1.0,1.0,0
E000281,habitation,1,habitation,1.0,1.0,0
E000282,habitation,1,habitation,1.0,1.0,0
E000283,habitation,1,habitation,1.0,1.0,0
E000284,habitation,1,habitation,1.0,1.0,0
E000285,habitation,1,habitation,1.0,1.0,0
E000286,habitation,1,habitation,1.0,1.0,0
E000287,habitation,1,habitation,1.0,1.0,0
E000288,habitation,1,habitation,1.0,1.0,0
E000289,habitation,1,habitation,1.0,1.0,0
E000290,habitation,1,habitation,1.0,1.0,0
E000291,habitation,1,habitation,1.0,1.0,0
E000292,habitation,1,habitation,1.0,1.0,0
E000293,habitation,1,habitation,1.0,1.0,0
E000294,habitation,1,habitation,1.0,1.0,0
E000295,habitation,1,habitation,1.0,1.0,0
E000296,habitation,1,habitation,1.0,1.0,0
E000297,habitation,1,habitation,1.0,1.0,0
E000298,habitation,1,habitation,1.0,1.0,0
E000299,habitation,1,habitation,1.0,1.0,0
E000300,habitation,1,habitation,1.0,1.0,0
E000301,habitation,1,habitation,1.0,1.0,0
E000302,habitation,1,habitation,1.0,1.0,0
E000303,habitation,1,habitation,1.0,1.0,0
E000304,habitation,1,habitation,1.0,1.0,0
E000305,habitation,1,habitation,1.0,1.0,0
E000306,habitation,1,habitation,1.0,1.0,0
E000307,habitation,1,habitation,1.0,1.0,0
E000308,habitation,1,habitation,1.0,1.0,0
E000309,habitation,1,habitation,1.0,1.0,0
E000310,habitation,1,habitation,1.0,1.0,0
E000311,habitation,1,habitation,1.0,1.0,0
E000312,habitation,1,habitation,1.0,1.0,0
E000313,habitation,1,habitation,1.0,1.0,0
E000314,habitation,1,habitation,1.0,1.0,0
E000315,habitation,1,habitation,1.0,1.0,0
E000316,habitation,1,habitation,1.0,1.0,0
E000317,habitation,1,habitation,1.0,1.0,0
E000318,habitation,1,habitation,1.0,1.0,0
E000319,habitation,1,habitation,1.0,1.0,0
E000320,habitation,1,habitation,1.0,1.0,0
E000321,habitation,1,habitation,1.0,1.0,0
E000322,habitation,1,habitation,1.0,1.0,0
E000323,habitation,1,habitation,1.0,1.0,0
E000324,habitation,1,habitation,1.0,1.0,0
E000325,habitation,1,habitation,1.0,1.0,0
E000326,habitation,1,habitation,1.0,1.0,0
E000327,habitation,1,habitation,1.0,1.0,0
E000328,habitation,1,habitation,1.0,1.0,0
E000329,habitation,1,habitation,1.0,1.0,0
E000330,habitation,1,habitation,1.0,1.0,0
E000331,habitation,1,habitation,1.0,1.0,0
E000332,habitation,1,habitation,1.0,1.0,0
E000333,habitation,1,habitation,1.0,1.0,0
E000334,habitation,1,habitation,1.0,1.0,0
E000335,habitation,1,habitation,1.0,1.0,0
E000336,habitation,1,habitation,1.0,1.0,0
E000337,habitation,1,habitation,1.0,1.0,0
E000338,habitation,1,habitation,1.0,1.0,0
E000339,habitation,1,habitation,1.0,1.0,0
E000340,habitation,1,habitation,1.0,1.0,0
E000341,habitation,1,habitation,1.0,1.0,0
E000342,habitation,1,habitation,1.0,1.0,0
E000343,habitation,1,habitation,1.0,1.0,0
E000344,habitation,1,habitation,1.0,1.0,0
E000345,habitation,1,habitation,1.0,1.0,0
E000346,habitation,1,habitation,1.0,1.0,0
E000347,habitation,1,habitation,1.0,1.0,0
E000348,habitation,1,habitation,1.0,1.0,0
