id_batiment,nb_maisons_x,infra_id,infra_type,longueur,type_infra_src,nb_maisons_y,type_batiment,type_infra,nb_maisons
E000020,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000020,1,P007111,infra_intacte,12.3144613356693,fourreau,7,habitation,infra_intacte,1
E000020,1,P007982,infra_intacte,49.956115228201,fourreau,7,habitation,infra_intacte,1
E000020,1,P000241,infra_intacte,75.9819951693543,fourreau,7,habitation,infra_intacte,1
E000020,1,P000170,infra_intacte,21.8831919484578,aerien,7,habitation,infra_intacte,1
E000020,1,P007145,infra_intacte,7.75407103642654,aerien,7,habitation,infra_intacte,1
E000021,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000021,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000021,1,P007111,infra_intacte,12.3144613356693,fourreau,3,habitation,infra_intacte,1
E000021,1,P007982,infra_intacte,49.956115228201,fourreau,3,habitation,infra_intacte,1
E000021,1,P000241,infra_intacte,75.9819951693543,fourreau,3,habitation,infra_intacte,1
E000021,1,P000170,infra_intacte,21.8831919484578,aerien,3,habitation,infra_intacte,1
E000021,1,P007225,infra_intacte,10.3993778636477,aerien,3,habitation,infra_intacte,1
E000022,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000022,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000022,1,P007111,infra_intacte,12.3144613356693,fourreau,6,habitation,infra_intacte,1
E000022,1,P007982,infra_intacte,49.956115228201,fourreau,6,habitation,infra_intacte,1
E000022,1,P000241,infra_intacte,75.9819951693543,fourreau,6,habitation,infra_intacte,1
E000022,1,P000040,infra_intacte,15.2944907641422,aerien,6,habitation,infra_intacte,1
E000022,1,P007277,infra_intacte,9.02547153965115,aerien,6,habitation,infra_intacte,1
E000023,1,P007111,infra_intacte,12.3144613356693,fourreau,2,habitation,infra_intacte,1
