id_batiment,is_hospital,infra_id,type_infra,longueur,man_hours,time_total_h,material_cost,labor_cost,cost_total,plan_order,phase,cost_cum,time_cum_h,pct_cum_all
E000197,0,P007763,a_remplacer,6.65725214040895,13.3145042808179,3.328626070204475,3328.626070204475,499.29391053067127,3827.9199807351465,316,1.0,1086643.5572294528,1055.4395232034135,0.27334871469735644
E000197,0,P005100,a_remplacer,6.25975675306654,12.51951350613308,3.12987837653327,3129.87837653327,469.4817564799905,3599.3601330132606,316,1.0,1090242.917362466,1058.5694015799468,0.27425414542443
E000197,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,316,1.0,1093025.9576885311,1060.9894366460903,0.27495422825381743
E000197,0,P000494,a_remplacer,4.84007013228732,9.68014026457464,2.42003506614366,2420.0350661436596,363.005259921549,2783.040326065209,316,1.0,1095808.9980145963,1063.4094717122339,0.2756543110832049
E000197,0,P000748,a_remplacer,4.62412685627937,9.24825371255874,2.312063428139685,2312.0634281396847,346.80951422095274,2658.8729423606374,316,1.0,1098467.8709569569,1065.7215351403736,0.27632315920410194
E000178,0,P008003,a_remplacer,16.9947899061457,33.9895798122914,8.49739495307285,8497.394953072851,1274.6092429609275,9772.004196033778,317,1.0,1108239.8751529907,1074.2189300934465,0.27878133858521703
E000178,0,P000732,a_remplacer,10.7871386086093,21.5742772172186,5.39356930430465,5393.56930430465,809.0353956456976,6202.604699950348,317,1.0,1114442.4798529411,1079.6124993977512,0.28034162393474793
E000178,0,P000719,a_remplacer,10.698159350814,21.396318701628,5.349079675407,5349.079675407001,802.36195131105,6151.44162671805,317,1.0,1120593.9214796592,1084.9615790731582,0.2818890390471021
E000178,0,P000750,a_remplacer,5.4200839327337,27.1004196636685,6.775104915917125,4878.07553946033,1016.2657373875687,5894.341276847899,317,1.0,1126488.2627565071,1091.7366839890753,0.28337177973174943
E000178,0,P008001,a_remplacer,9.80181343246892,19.60362686493784,4.90090671623446,4900.90671623446,735.1360074351691,5636.042723669629,317,1.0,1132124.3054801768,1096.6375907053098,0.28478954457675754
E000178,0,P008004,a_remplacer,4.2679056836056,21.339528418028003,5.334882104507001,3841.11511524504,800.2323156760501,4641.347430921091,317,1.0,1136765.652911098,1101.9724728098167,0.28595709059151597
E000178,0,P007727,a_remplacer,6.32141109105695,12.6428221821139,3.160705545528475,3160.705545528475,474.10583182927127,3634.811377357746,317,1.0,1140400.4642884557,1105.1331783553453,0.2868714391941997
