id_batiment,nb_maisons_x,infra_id,infra_type,longueur,type_infra_src,nb_maisons_y,type_batiment,type_infra,nb_maisons,hours_per_m,cost_per_m,man_hours,time_total_h,material_cost,labor_cost,cost_total,a_reparer,is_hospital
E000110,1,P007554,a_remplacer,8.72690474251765,fourreau,3,habitation,a_remplacer,1,5,900,43.63452371258825,10.908630928147062,7854.214268265885,1636.2946392220592,9490.508907487943,1,0
E000111,1,P005770,a_remplacer,13.8935987811649,aerien,5,habitation,a_remplacer,1,2,500,27.7871975623298,6.94679939058245,6946.7993905824505,1042.0199085873676,7988.819299169818,1,0
E000111,1,P007985,a_remplacer,10.4897301634131,aerien,5,habitation,a_remplacer,1,2,500,20.9794603268262,5.24486508170655,5244.86508170655,786.7297622559825,6031.594843962533,1,0
E000111,1,P007813,a_remplacer,1.36523196955369,fourreau,5,habitation,a_remplacer,1,5,900,6.826159847768451,1.7065399619421127,1228.708772598321,255.9809942913169,1484.689766889638,1,0
E000112,1,P005664,a_remplacer,12.9108403618454,aerien,6,habitation,a_remplacer,1,2,500,25.8216807236908,6.4554201809227,6455.4201809227,968.313027138405,7423.733208061105,1,0
E000112,1,P007448,a_remplacer,7.9742290455672,aerien,6,habitation,a_remplacer,1,2,500,15.9484580911344,3.9871145227836,3987.1145227836,598.06717841754,4585.18170120114,1,0
E000127,1,P005117,a_remplacer,13.2627025810985,aerien,8,habitation,a_remplacer,1,2,500,26.525405162197,6.63135129054925,6631.35129054925,994.7026935823875,7626.053984131638,1,0
E000127,1,P000873,a_remplacer,5.46510947034025,aerien,8,habitation,a_remplacer,1,2,500,10.9302189406805,2.732554735170125,2732.5547351701252,409.88321027551876,3142.437945445644,1,0
E000127,1,P007790,a_remplacer,5.85611808756648,fourreau,8,habitation,a_remplacer,1,5,900,29.280590437832398,7.3201476094580995,5270.506278809832,1098.022141418715,6368.5284202285475,1,0
E000128,1,P005317,a_remplacer,11.95171127553,aerien,6,habitation,a_remplacer,1,2,500,23.90342255106,5.975855637765,5975.855637765,896.37834566475,6872.23398342975,1,0
E000128,1,P001156,a_remplacer,13.4887076792516,aerien,6,habitation,a_remplacer,1,2,500,26.9774153585032,6.7443538396258,6744.3538396258,1011.65307594387,7756.00691556967,1,0
